X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
4.791798;45.7657986003772;node/1538874573;pharmacy;Pharmacie des Deux Amants;;;;"Mo-Fr 09:00-12:00,14:30-19:15; Sa 09:00-12:00";"690022686";;;;;"52759722300017";+33 4 78 36 02 36;"69123";Lyon
4.827309;45.7794528003753;node/1555288674;pharmacy;Pharmacie des Canuts;;;;;"690020003";"620";4773Z;;;"49828346400010";+33 4 78 29 87 47;"69123";Lyon
4.7964549;45.7566175003786;node/1576765210;pharmacy;Pharmacie du Point du Jour;;;;;"690020284";;;;;"35191273800025";;"69123";Lyon
4.8298511;45.7982183003726;node/1585014854;pharmacy;Pharmacie de l'Île Barbe;;;;08:30-19:00;"690022553";;;;;"38933653800035";+33 4 78 83 99 40;"69123";Lyon
4.8509651;45.7569609003785;node/1600251556;doctors;Cabinet Infirmier Lyonnais;;;;;;;;;;;;"69123";Lyon
4.8541071;45.7488652003796;node/1683846890;hospital;Clinique dentaire et d'orthodontie mutualiste;;no;;;;;;;;;;"69123";Lyon
4.8349223;45.7777429003756;node/1700610839;pharmacy;Pharmacie de la Place Bertone;;;;"Mo-Sa 08:30-12:30, Mo-Fr 14:15-20:00";"690020052";;;;;;+33 4 78 28 73 62;"69123";Lyon
4.858889;45.753720100379;node/1752315938;pharmacy;Pharmacie de LYON;;;yes;Mo-Fr 08:30-19:30;"690021407";;;;;"48853964400028";+33 4 78 72 33 49;"69123";Lyon
4.8293313;45.753514300379;node/1790686107;pharmacy;Pharmacie Khalatbari;;;;Mo-Sa 09:00-19:00;"690018817";;;;;;+33 4 78 37 10 67;"69123";Lyon
4.8294666;45.774876600376;node/1797690563;pharmacy;Pharmacie du Marché;;;yes;"Tu-Su 08:45-12:00,14:30-19:00; Mo 14:30-19:00";"690020102";;;;;;+33 4 78 28 03 12;"69123";Lyon
4.8321327;45.7753724003759;node/1797691223;pharmacy;Pharmacie Lafayette de la Place;;;yes;"Mo-Fr 08:30-19:30; Sa 08:30-19:00";"690019872";;;;;;"+33478282807";"69123";Lyon
4.8315339;45.774734700376;node/1823027272;pharmacy;Pharmacie de la croix rousse;;;;"Mo-Sa 08:45-12:30,14:00-19:00";"690019856";;;;;"45287861400018";+33 4 78 28 30 28;"69123";Lyon
4.8329484;45.7644460003775;node/1874833136;pharmacy;Boticinal Grande Pharmacie de Lyon Saint-Nizier;;;;Mo-Sa 08:00-20:00;"690017900";;;;;"84269838300028";"+33478392408";"69123";Lyon
4.8300126;45.7689154003768;node/1975521480;pharmacy;Pharmacie Cueilleron;;;;Mo-Fr 08:45-20:00;"690017934";;;;;;+33 4 78 28 63 90;"69123";Lyon
4.8282739;45.7662567003772;node/1981632346;pharmacy;Grande Pharmacie Saint-Paul;;;;;"690020367";;;;;"41807169200010";+33 4 78 28 16 35;"69123";Lyon
4.8281538;45.7683178003769;node/1981632348;pharmacy;Pharmacie Saint-Vincent;;;;"Mo-Fr 08:15-12:30,13:30-19:30, Sa 08:30-12:30,14:00-19:30";"690017785";;;;;"32802822000023";+33 4 78 28 06 15;"69123";Lyon
4.7922134;45.7588492003782;node/2013826549;pharmacy;Pharmacie des Aqueducs;;;;;"690020151";;;;;"79204427300011";;"69123";Lyon
4.8332116;45.7768234003757;node/2019554931;pharmacy;Pharmacie du Mail;;;;;"690019971";"620";4773Z;;;"32855493600026";+33 4 78 28 20 56;"69123";Lyon
4.832197;45.7761364003758;node/2019632290;pharmacy;Pharmacie des Lions;;;;;"690019906";"620";4773Z;;;"49828346400010";+33 4 78 39 29 24;"69123";Lyon
4.8426935;45.7559100003787;node/203963968;pharmacy;Pharmacie Jeantet;;;yes;Mo-Sa 08:00-19:30;"690019351";;;;;"45409511800013";+33 4 78 60 13 37;"69123";Lyon
4.8424818;45.7552449003788;node/203963982;pharmacy;Pharmacie de la Guillotière;;;yes;"Mo-Fr 08:45-13:00,13:45-19:30, Sa 09:00-13:00,14:00-19:00";"690021282";;;;;"83850405800010";+33 4 78 72 32 04;"69123";Lyon
4.8266996;45.7741738003761;node/2074304501;pharmacy;Pharmacie Moreau;;;;"Mo-Fr 08:30-12:30, Sa 08:30-13:00,14:00-19:00, Mo-Fr 14:00-19:30";"690019807";;;;;"45311847300017";+33 4 78 27 01 95;"69123";Lyon
4.8328938;45.774734100376;node/2078674107;pharmacy;Pharmacie Du Gros Caillou;;;;"Mo-Fr 08:00-13:00, 13:30-19:00 ; Sa 09:00-12:30, 15:00-18:30";"690019823";;;;;"48216536200013";+33 4 78 28 46 82;"69123";Lyon
4.8419751;45.7544751003789;node/2181674851;clinic;Comité Départemental d'Hygiène Sociale;;;;;"690018239";;;;;;"+33472731276";"69123";Lyon
4.8427077;45.7586846003783;node/2181746725;doctors;Marie Merle psychologue clinicienne;;;;;;;;;;;;"69123";Lyon
4.8442872;45.7506842003794;node/2205019190;doctors;;;;;;;;;;;;;"69123";Lyon
4.8263701;45.7594761003782;node/2304469783;pharmacy;Pharmacie du Vieux-Lyon;;;;"Mo 14:30-19:00 ; Tu-Fr 09:00-12:00, 14:30-19:00 ; Sa 09:00-12:00";"690020250";;;;;;+33 4 78 42 25 35;"69123";Lyon
4.7855842;45.7570427003785;node/2311027206;pharmacy;Pharmacie de Ménival;;;;;"690020334";;;;;;+33 4 78 25 09 16;"69123";Lyon
4.8481729;45.753353400379;node/2322617258;dentist;Dentego;;;yes;Mo-Fr 09:00-19:00;;;;;;"83537091700014";;"69123";Lyon
4.8359766;45.7573210003784;node/243510445;pharmacy;Pharmacie Bel;;;yes;"Mo-Fr 08:45-19:30; Sa 10:00-19:00";"690018171";;;;;"75035582800013";+33 4 78 37 78 71;"69123";Lyon
4.8670688;45.7449990003802;node/245957279;pharmacy;Pharmacie des Frères Lumière;;;yes;"Mo 14:30-19:00; Tu-Sa 09:00-12:30,14:30-19:00";"690022017";;;;;"51471482300010";+33 4 78 00 73 04;"69123";Lyon
4.8693738;45.7442047003803;node/245957280;pharmacy;Grande Pharmacie de Monplaisir;;;yes;"Tu-Sa 09:00-12:30,14:30-19:00; Mo 14:30-19:00";"690022033";;;;;;;"69123";Lyon
4.8727629;45.7437059003804;node/245957287;pharmacy;Pharmacie de l'Institut;;;yes;"Mo 14:30-19:00; Tu-Sa 09:00-12:30,14:30-19:00";"690021852";;;;;"53481853900015";;"69123";Lyon
4.8693568;45.7366867003813;node/247265906;pharmacy;Pharmacie Marsot et Sigaud;;;yes;"Mo 14:00-19:00; Tu-Fr 08:45-12:30,14:00-19:00; Sa 09:00-12:00,14:30-17:30";"690022132";;;;;"33800558000018";+33 4 78 01 24 21;"69123";Lyon
4.8307224;45.7557398003787;node/2475053652;pharmacy;Pharmacie Victor Hugo;;;;"Mo-Sa 08:45-12:15, Mo-Fr 14:00-19:30";"690018767";;;;;"39467355200011";+33 4 78 37 05 86;"69123";Lyon
4.8359074;45.7600922003781;node/2476288492;pharmacy;Pharmacie Hôtel Dieu;;;yes;Mo-Sa 09:00-19:30;"690018700";;;;;"45238844000029";+33 4 78 38 13 13;"69123";Lyon
4.8410187;45.7579310003784;node/249718439;pharmacy;Pharmacie du Village;;;yes;Mo-Sa 08:30-19:30;"690018916";;;;;"83191397500015";+33 4 78 60 06 52;"69123";Lyon
4.8456856;45.7520208003792;node/249718450;pharmacy;Pharmacie de l'Aigle;;;yes;;"690021522";;;;;"49766307000017";+33 4 78 72 31 05;"69123";Lyon
4.8036375;45.7792124003754;node/252156010;pharmacy;Pharmacie de la Place de Paris;;;;"Mo-Fr 08:00-13:00,14:00-19:00; Sa 09:00-12:30";"690021704";;;;;"75002076000013";+33 4 72 19 75 29;"69123";Lyon
4.8286534;45.7520219003792;node/2560866780;pharmacy;Pharmacie Jean-Pierre Foraz;;;;Mo-Sa 08:00-19:15;"690018833";;;;;"39821851100010";+33 4 78 37 38 90;"69123";Lyon
4.8293928;45.7514186003793;node/257109615;pharmacy;Pharmacie Perrache Carnot;;;yes;"Mo-Fr 08:30-19:30; Sa 08:30-12:30,14:30-19:30";"690018122";;;;;"48748681300016";+33 4 78 37 07 04;"69123";Lyon
4.8574817;45.7698191003767;node/262998578;pharmacy;Hello Pharmacie des Brotteaux;Hello Pharmacie;;yes;"Mo-Fr 08:30-19:30, Sa 09:00-12:30,14:00-19:30";"690020482";;;;;"48229969000016";+33 4 78 24 02 66;"69123";Lyon
4.8505178;45.7692398003768;node/268130818;pharmacy;Pharmacie Vitton;;;yes;Mo-Sa 08:30-19:30;"690021100";;;;;"75062329000012";+33 4 78 52 90 74;"69123";Lyon
4.8549932;45.7698188003767;node/268130819;pharmacy;Pharmacie du 6ème;;;yes;Mo-Sa 08:30-19:30;"690021134";;;;;"41494780400012";+33 4 78 89 52 10;"69123";Lyon
4.8622369;45.7410289003808;node/270293052;pharmacy;Pharmacie du 8ème;;;yes;;"690021837";;;;;"48235199600020";;"69123";Lyon
4.8852755;45.7304486003822;node/270298914;pharmacy;Pharmacie Jean Mermoz;;;yes;;"690022116";;;;;"49811662300014";;"69123";Lyon
4.8566375;45.7668935003771;node/270477202;pharmacy;Pharmacie des Brotteaux;;;yes;"Mo-Fr 08:30-19:15; Sa 09:00-12:15";"690020516";;;;;"48421688200031";+33 4 78 52 21 31;"69123";Lyon
4.8547282;45.7689701003768;node/270479913;pharmacy;Pharmacie de Sèze;;;yes;;"690021001";;;;;"48461568700015";+33 4 78 24 41 96;"69123";Lyon
4.8338623;45.7634214003776;node/270493633;pharmacy;Pharmacie Lafayette Florit;;;yes;"Mo 11:30-20:00; Tu-Fr 09:00-20:00; Sa 09:30-20:00";"690018486";;;;;"84032963500014";+33 4 78 37 74 92;"69123";Lyon
4.8332721;45.7595650003782;node/273209131;pharmacy;Pharmacie des Archers;;;;Mo-Sa 08:30-19:30;"690018072";;;;;"50291008600011";+33 4 78 42 10 21;"69123";Lyon
4.8340461;45.7589560003782;node/273211849;pharmacy;Pharmacie Reboul;;;yes;"Mo 13:45-19:00; Tu-Sa 08:45-12:15,13:45-19:00";"690018601";;;;;"34433750600010";+33 4 78 37 45 64;"69123";Lyon
4.8279687;45.7565078003786;node/2749148434;pharmacy;Pharmacie de la Passerelle;;;;"Mo-Fr 08:30-19:30; Sa 09:00-12:30";"690018502";;;;;"79783222700012";+33 4 78 37 00 92;"69123";Lyon
4.8069249;45.774644900376;node/2789756651;pharmacy;Pharmacie Normale de Vaise;;;;"Mo 14:30-19:00; Tu-Sa 09:00-12:30,14:30-19:00";"690022751";;;;;"40407303300015";+33 4 78 83 79 36;"69123";Lyon
4.8561538;45.7705190003766;node/2814036943;dentist;Centre médico-dentaire;;;;;;;;;;;;"69123";Lyon
4.8784117;45.7548607003788;node/2857958253;doctors;Dr Couty;;;;;;;;;;;;"69123";Lyon
4.8648775;45.7499414003795;node/2864995043;pharmacy;Pharmacie du Dauphin;;;yes;"Mo-Fr 08:30-12:30,13:30-19:15, Sa 09:00-12:30";"690019005";;;;;"81507509800013";+33 4 78 54 42 32;"69123";Lyon
4.8551626;45.7482158003797;node/2924501374;pharmacy;Pharmacie Lestaevel;;;;"Mo-Fr 08:00-12:15,14:00-19:00; Sa 08:30-12:00";"690021423";;;;;"41816865400014";+33 4 78 72 45 62;"69123";Lyon
4.8480727;45.7486748003797;node/2924552112;pharmacy;Pharmacie de la Madeleine;;;yes;"Mo-Fr 08:30-12:30,14:30-19:00, Sa 08:30-16:00";"690021621";;;;;"53394505100019";+33 4 78 72 47 48;"69123";Lyon
4.8810771;45.7482050003797;node/301976861;pharmacy;Pharmacie Ternamian;;;yes;"Mo 14:15-19:00; Sa 09:00-12:15; Tu-Fr 09:00-12:15,14:15-19:00";"690019021";;;;;"38261693600011";;"69123";Lyon
4.8844527;45.7496105003795;node/301977340;pharmacy;Pharmacie du Cours;;;;"Mo-Fr 08:45-12:00,14:30-19:30; Sa 08:45-12:30";"690019054";;;;;"44833869900011";;"69123";Lyon
4.839555;45.7485819003797;node/3089480246;pharmacy;Pharmacie Nesme;;;yes;"Mo 14:00-19:00; Tu-Fr 09:00-12:30, 14:00-19:00; Sa 09:00-12:30";"690021266";;;;;"35205972900017";+33 4 78 72 31 89;"69123";Lyon
4.7980599;45.7565422003786;node/3136966476;pharmacy;Grande Pharmacie de l'Ouest Lyonnais;;;;"Mo-Sa 08:30-12:30, Mo-Fr 14:00-19:45, Sa 14:00-19:30";"690020383";;;;;"43395182900012";+33 4 37 41 34 13;"69123";Lyon
4.8649046;45.732375400382;node/3137134645;pharmacy;Pharmacie Couderc;Stéphanie COUDERC RIGOULOT;;yes;"Mo-Fr 08:30-12:15, 14:00-19:00; Sa 08:30-12:15, 15:00-18:00";"690021985";"620";;;;"83532283500017";+33 4 78 74 05 20;"69123";Lyon
4.8641695;45.7333242003818;node/3137134646;pharmacy;Pharmacie des États-Unis;;;;Fermeture définitive;"690021951";;;;;"53536465700010";;"69123";Lyon
4.852954;45.7292776003824;node/3137134647;pharmacy;Pharmacie du Moulin à Vent;;;;;"690021936";;;;;"49786952900014";;"69123";Lyon
4.8663509;45.7287055003825;node/3137213319;pharmacy;Pharmacie du Marché des États-Unis;;;;"Mo 14:30-19:00; Tu-Sa 08:45-12:00,14:30-19:00";"690022173";;;;;"51273273600016";;"69123";Lyon
4.8302729;45.7530100003791;node/314423211;pharmacy;Chatelon;;;yes;;"690018106";;;;;"37951465600014";+33 4 78 37 12 58;"69123";Lyon
4.8567316;45.7621602003778;node/3146596090;pharmacy;Grande Pharmacie de la Part Dieu;;;;Mo-Sa 09:30-20:00;"690018973";;;;;;+33 4 78 71 00 54;"69123";Lyon
4.8026706;45.7681823003769;node/3161821933;pharmacy;Pharmacie Gorge de Loup;;;;"Mo-Fr 08:30 - 12:30, 13:30 - 19:30; Sa 08:30 - 12:30";"690022587";;;;;"53537098500017";+33 4 78 83 72 28;"69123";Lyon
4.8305554;45.7665948003771;node/317206214;pharmacy;Pharmacie de la Tour;;;yes;"Mo-Sa 14:30-19:30, Tu-Sa 09:00-12:30";"690017835";;;;;;+33 4 78 28 60 83;"69123";Lyon
4.832882;45.767739600377;node/317206834;pharmacy;Pharmacie des Terreaux;;;yes;"Sa 08:30-19:00; Mo 14:00-19:30; Tu-Fr 08:30-19:30";"690017983";;;;;"83846554000014";+33 4 78 28 11 91;"69123";Lyon
4.8327864;45.7555176003787;node/317207665;pharmacy;Pharmacie de la Grande poste;;;yes;"Mo-Fr 08:30-19:30; Sa 09:00-13:00";"690018304";;;;;"78914009200014";+33 4 78 37 11 32;"69123";Lyon
4.8297116;45.7523478003792;node/317208003;pharmacy;Pharmacie Limonne;;;yes;"Mo-Fr 08:00-19:30 ; Sa 09:00-12:30,14:30-19:00";"690018155";;;;;"51379080800028";+33 4 78 37 00 75;"69123";Lyon
4.8279346;45.7526749003791;node/317320543;pharmacy;Pharmacie Franklin;;;yes;Mo-Sa 08:15-19:30;"690018437";;;;;"34374445400012";+33 4 78 37 05 91;"69123";Lyon
4.8332351;45.7621000003778;node/317322002;pharmacy;Pharmacie du Centre;;;;;"690018221";;;;;;+33 4 78 42 23 29;"69123";Lyon
4.8521908;45.7693375003767;node/321525388;pharmacy;Grande Pharmacie du Parc;;;yes;Mo-Sa 08:30-19:30;"690021035";;;;;"50317284300016";+33 4 78 24 47 44;"69123";Lyon
4.8611086;45.7704451003766;node/321525534;pharmacy;Pharmacie Anton & Willem;;;yes;"Mo-Fr 09:00-19:30, Sa 09:00-12:30,14:30-19:00";"690021167";;;;;"44338953100015";+33 4 78 89 43 57;"69123";Lyon
4.8362055;45.7669467003771;node/3286673521;pharmacy;Pharmacie de l'Opéra;;;;Mo-Fr 08:30-19:00;"690017884";;;;;"80942440100010";+33 4 78 28 35 61;"69123";Lyon
4.8331261;45.7713466003765;node/3286673522;pharmacy;Pharmacie de la Colline;;;;;"690017751";;;;;"42038392900015";+33 4 78 28 40 47;"69123";Lyon
4.8455461;45.7637316003776;node/3288075792;pharmacy;Pharmacie Dahan;;;yes;"Mo-Th 09:00-19:30; Fr 09:00-19:00";"690020821";;;;;"35331296000019";;"69123";Lyon
4.842785;45.7637075003775;node/3288075793;pharmacy;Pharmacie du Rhône;;;;"Mo-Fr 09:00-19:00; Sa 09:00-12:30";"690020805";;;;;"38481768000018";;"69123";Lyon
4.8264711;45.7490568003796;node/3362124251;pharmacy;Grande Pharmacie de Perrache;;;;"Mo-Fr 07:30-19:00; Sa 10:00-18:00";"690018254";;;;;;+33 4 78 37 14 05;"69123";Lyon
4.8717841;45.7456159003801;node/34991538;pharmacy;Pharmacie Grange-Blanche;;;yes;;"690018932";;;;;"97341002000026";;"69123";Lyon
4.8134784;45.7580587003783;node/35960760;pharmacy;Pharmacie de Trion;;;;;"690020466";;;;;"38782917900010";+33 4 78 25 05 91;"69123";Lyon
4.8455753;45.7690710003768;node/3613001536;pharmacy;Pharmacie Le Niger Duittoz;;;;;"690020706";;;;;;;"69123";Lyon
4.8475423;45.7688882003768;node/3613001537;pharmacy;Pharmacie Leclerc Le Goffic;;;;"Mo-Fr 08:30-19:30, Sa 09:00-19:00";"690020722";;;;;;;"69123";Lyon
4.8535238;45.7299258003823;node/3613020071;pharmacy;La Pharmacie d'Anne Salort;;;;"Mo-Fr 08:30-19:30; Sa 08:30-00:30";"690021902";;;;;"43271105900027";;"69123";Lyon
4.8004772;45.788920700374;node/3613020072;pharmacy;Pharmacie Balmont;;;yes;"Mo-Fr 08:30-12:30,14:30-19:30; Sa 08:30-12:30";"690022405";;;;;;;"69123";Lyon
4.8242731;45.74637150038;node/3613020074;pharmacy;Pharmacie Charlemagne;;;;"Mo-Fr 08:30-19:30 ; Sa 08:30-12:30,14:00-19:00";"690018353";;;;;"79902135700014";+33 4 78 37 10 03;"69123";Lyon
4.8470799;45.7727034003763;node/3613020076;pharmacy;Pharmacie Duquesne;;;;"Mo-Fr 08:30-19:30; Sa 08:30-12:30,14:30-19:00";"690020656";;;;;;;"69123";Lyon
4.8051857;45.7756982003758;node/3613020077;pharmacy;Pharmacie Kauffmann Perrin;;;yes;"Mo-Fr 08:30-19:00; Sa 09:00-17:00";"690022504";;;;;;;"69123";Lyon
4.8321253;45.7777504003756;node/3613020078;pharmacy;Pharmacie Keller;;;yes;"Mo-Fr 08:30-12:30,14:00-19:30; Sa 08:30-12:30,14:00-19:00";"690019922";;;;;"39235249800019";;"69123";Lyon
4.8283709;45.7643102003775;node/3613020079;pharmacy;Pharmacie du Change;;;;"Tu-Sa 09:00-12:30; Mo-Fr 14:15-19:15; Sa 14:15-18:15";"690020201";;;;;"41415329600010";+33 4 78421158;"69123";Lyon
4.820748;45.7785889003754;node/3613020082;pharmacy;Pharmacie Moncozet Clément;;;;;"690019757";;;;;;;"69123";Lyon
4.8220975;45.7445045003803;node/3613020084;pharmacy;Pharmacie Sainte-Blandine;;;limited;;"690018387";;;;;;+33 4 78 37 77 81;"69123";Lyon
4.8528777;45.7369654003813;node/3613020085;pharmacy;Pharmacie Triolaire;;;yes;"Mo-Sa 08:30-12:00, Mo-Fr 14:00-19:30";"690022322";;;;;"48897570700024";;"69123";Lyon
4.8322228;45.7796009003753;node/3613020088;pharmacy;Pharmacie de l'Ambre;;;;"Mo-Fr 08:30-19:00; Sa 08:30-12:00,14:00-19:00";"690020086";;;;;"49994512900025";;"69123";Lyon
4.8326014;45.781578400375;node/3613020089;pharmacy;Pharmacie de l'Ambre;;;;;"690019955";;;;;;;"69123";Lyon
4.850055;45.7667210003771;node/3613020090;pharmacy;Pharmacie de l'Europe;;;;;"690020557";;;;;"51533282300019";;"69123";Lyon
4.8348286;45.7762420003758;node/3613020092;pharmacy;Pharmacie de la Soie;;;;Mo-Sa 08:30-20:00;"690019732";;;;;"79448570600012";;"69123";Lyon
4.868066;45.7638428003775;node/3613020393;pharmacy;Pharmacie des Charmettes;Pharmacien Giphar;;;"Tu-Sa 08:30-12:30; Mo-Fr 14:00-19:30; Sa 14:30-19:30";"690020904";;;;;"41963418300018";+33 4 78 52 23 63;"69123";Lyon
4.8213454;45.7727790003763;node/3613020395;pharmacy;Pharmacie du Clos Jouve;;;;"Mo 14:30-19:00; Tu-Sa 08:45-12:30,14:30-19:00";"690018023";;;;;"53330094300016";;"69123";Lyon
4.8471116;45.7705936003766;node/3629175806;pharmacy;Pharmacie Duguesclin;;;;"Mo-Fr 08:30-12:30, 14:00-19:30; Sa 09:00-12:00";"690020623";;;;;"50963346700014";+33 4 78 89 04 63;"69123";Lyon
4.8770793;45.7406668003808;node/3647143360;hospital;Institut d'hématologie et d'oncologie pédiatrique;;no;;;"690019849";;;;;;;"69123";Lyon
4.8541363;45.7507382003794;node/3843623386;doctors;SOS Médecins;;;;"10:00-00:00; 24/7 ""À domicile""";;;;;;;"+33478835151";"69123";Lyon
4.8891352;45.74633670038;node/4043301547;nursing_home;Résidence Constant;ACPPA;;;;"690039318";"500";;;senior;"32735516000109";"+33472129800";"69123";Lyon
4.8058216;45.767423300377;node/410296234;pharmacy;Pharmacie du Cap de Vaise;;;yes;;"690021357";;;;;"34440022100026";+33 4 37 64 68 50;"69123";Lyon
4.8083639;45.7734910003762;node/410296261;pharmacy;Pharmacie Saint-Pierre-de-Vaise;;;yes;"Mo-Sa 09:00-13:00; Mo-Fr 14:15-19:15";"690022736";;;;;"81343158200010";+33 4 78 83 79 90;"69123";Lyon
4.8017095;45.7756828003758;node/410296263;pharmacy;Pharmacie Marietton;;;yes;"Mo-Sa 09:00-12:30; Mo-Fr 14:00-19:00; Sa 14:30-19:00";"690022637";;;;;"45288069300018";+33 4 78 83 70 87;"69123";Lyon
4.8532944;45.7527103003791;node/4241885949;doctors;Docteur Asaad Samer;;;no;"Mo-Fr 08:30-19:30; Sa 09:00-12:30,14:30-18:00";;;;;;;;"69123";Lyon
4.8686586;45.7531561003791;node/434017984;pharmacy;Pharmacie Lacassagne;;;yes;"Mo-Sa 08:30-12:00; Mo-Fr 14:30-19:00";"690019286";;;;;"79820993800017";+33 4 78 54 43 08;"69123";Lyon
4.8676658;45.7547848003788;node/434017987;pharmacy;Pharmacie de l'Isle;;;yes;"Mo 14:30-19:00; Tu-Fr 08:30-12:00,14:30-19:00; Sa 08:30-12:00";"690019120";;;;;"34343179700038";+33 4 78 54 39 49;"69123";Lyon
4.876031;45.7555791003787;node/434017991;pharmacy;Pharmacie des Maisons Neuves;;;yes;"Mo-Fr 08:45-12:15,14:45-19:30, Sa 09:00-12:15";"690019153";;;;;"44834050500016";+33 4 78 54 09 66;"69123";Lyon
4.8653981;45.7568007003785;node/434018004;pharmacy;Pharmacie Sainte-Anne;;;yes;"Mo-Fr 08:30-12:30,14:30-19:00; Sa 09:00-12:30,14:30-19:00; PH,Su off";"690019583";;;;;"33903396100022";+33 4 78 54 41 79;"69123";Lyon
4.8676324;45.7592043003782;node/434018010;pharmacy;Pharmacie Lacroix;;;yes;"Mo-Fr 08:30-12:30, 14:00-19:15; Sa 08:30-12:15";"690018957";;;;;"43178576500014";+33 4 78 54 98 67;"69123";Lyon
4.8526822;45.7637649003776;node/434018021;pharmacy;Pharmacie Tête d'Or;;;yes;"Mo-Fr 08:30-19:00; Sa 09:00-12:30";"690020854";;;;;"75202943900037";+33 4 72 83 95 15;"69123";Lyon
4.8490476;45.7632420003776;node/434018024;pharmacy;Pharmacie des Halles;;;yes;"Mo 13:00-19:00, Tu-Fr 09:00-19:00, Sa 09:00-12:30,15:00-19:00";"690019302";;;;;"75088372000013";+33 4 78 62 06 82;"69123";Lyon
4.8566797;45.7569526003785;node/434018032;pharmacy;Pharmacie de la Rize;;;yes;"Mo-Fr 08:30-19:15; Sa 09:00-12:30";"690019534";;;;;"43753992700016";+33 4 78 60 84 83;"69123";Lyon
4.8492656;45.7569645003785;node/434018049;pharmacy;Pharmacie Voltaire;;;;"Mo-Fr 08:30-12:30,14:00-19:00; Sa 08:30-12:30";"690019716";;;;;"82052526900016";+33 4 78 60 32 39;"69123";Lyon
4.8472268;45.7563946003786;node/434018052;pharmacy;Pharmacie Vendôme;;;yes;"Mo-Fr 08:30-12:30,14:00-19:00; Sa 09:00-13:00";"690019682";;;;;;+33 4 78 60 16 32;"69123";Lyon
4.8460388;45.7561011003786;node/434018053;pharmacy;Pharmacie Tarak;;;yes;"Mo 09:00-19:30 ; Tu-Th 09:00-13:00,14:00-19:30 ; Fr 09:00-19:30 ; Sa 09:00-13:00";"690019500";;;;;"40300731300014";+33 4 78 71 05 80;"69123";Lyon
4.846151;45.7568822003785;node/434018055;pharmacy;Grande Pharmacie de Saxe;Emilie Pajot;;yes;"Mo-Fr 08:45-13:00,14:30-19:00; Sa 09:00-12:00";"690019401";;;;;"47806165800017";+33 4 78 60 82 44;"69123";Lyon
4.8453274;45.760769200378;node/434018057;pharmacy;Pharmacie de la Préfecture;;;;"Mo-Fr 08:30-14:00,15:00-19:00";"690019385";;;;;"44411902800017";+33 4 78 60 29 76;"69123";Lyon
4.8468798;45.7596325003781;node/434018059;pharmacy;Pharmacie Place Guichard;;;;;"690019450";"620";;;;"82103300800011";"+33478600126";"69123";Lyon
